Date/Time of Incident,Conduct Charges,Course
8/3/2021,Plagiarism,English 472/Shakespeare Survey
9/30/2021,"Cheating, Plagiarism","Exercise, Sport and Health Education 396-01"
9/30/2021,Plagiarism,English 111-74-Principles of College Composition
9/30/2021,Plagiarism,English 111-74-Principles of College Composition
9/30/2021,Plagiarism,English 111-761 Principles of College Composition
10/11/2021,"Cheating, Plagiarism",Anthropological Sciences
10/11/2021,"Cheating, Plagiarism",Anthropological Sciences
10/11/2021,"Cheating, Plagiarism",Anthropological Sciences
10/13/2021,Cheating,Health Communication and Coaching 2021
10/13/2021,Cheating,Health Communication and Coaching 2021
10/15/2021,Facilitation,Communication
10/15/2021,Plagiarism,Communication
10/15/2021,Cheating,Principles of Marketing/Marketing 340
10/15/2021,Facilitation,Communication
10/16/2021,Cheating,English 200: Literary Texts and Contexts
10/18/2021,Plagiarism,Biology 232/01--Organismal Biology
10/19/2021,Cheating,Introductory Psychology/Psychology 121 Section 3
10/19/2021,Cheating,Introductory Psychology/Psychology 121 Section 3
10/19/2021,Cheating,Introductory Psychology/Psychology 121 Section 3
10/19/2021,Cheating,Introductory Psychology/Psychology 121 Section 3
10/26/2021,Plagiarism,English 306-09  Professional Writing
10/26/2021,Cheating,Introductory Psychology/PSYC 121 Section 3
11/5/2021,Plagiarism,Art 100-05 Art Appreciation
11/8/2021,"Cheating, Plagiarism",Surgical Pharmacology 113
11/8/2021,Facilitation,Surgical Pharmacology 113
11/17/2021,Cheating,HLTH 480 Health Communication and Coaching
11/17/2021,Cheating,HLTH 480: Health Communication and Coaching
11/19/2021,"Cheating, Facilitation","Exercise, Sport and Health Education ESHE 450 Research Methods"
11/19/2021,"Cheating, Plagiarism","Exercise, Sport and Health Education ESHE 450 Research Methods"
12/3/2021,Cheating,Health Education 300
12/3/2021,Cheating,Health Education 300
12/8/2021,Plagiarism,English 111H-37
12/9/2021,Plagiarism,Sociology 360-01
12/13/2021,"Cheating, Plagiarism",English 200: Literary Texts and Contexts
12/13/2021,"Cheating, Plagiarism",English 202- British and Commonwealth Literature
12/13/2021,"Cheating, Plagiarism",English 200: Literary Texts and Contexts
2/9/2022,Cheating,Chemistry 122
2/16/2022,Plagiarism,English 306-14
2/17/2022,Plagiarism,English 300-02  Introduction to English Studies
2/25/2022,"Cheating, Plagiarism",Music 155
3/15/2022,Plagiarism,Sociocultural Aspects of Sport/ESHE 370
3/22/2022,Plagiarism,BIOL 232/02 Organismal Biology
3/23/2022,Cheating,Accounting 212  ACTG
3/23/2022,Plagiarism,Organismal Biology/BIO 232/02
3/28/2022,"Cheating, Plagiarism",English 202- British and Commonwealth Literature
Date/Time of Incident,Conduct Charges,Course
3/31/2022,Cheating,Criminal Justice 235-03 CRUJ 235-03
3/31/2022,Cheating,Criminal Justice 235-03 CRUJ 235-03
3/31/2022,Cheating,Criminal Justice 235-03 CRUJ 235-03
3/31/2022,Cheating,Criminal Justice 235-03 CRUJ 235-03
4/20/2022,Plagiarism,Criminal Justice 235-03 CRUJ 235-03
4/20/2022,Plagiarism,English 300
4/26/2022,Cheating,Criminal Justice 235-03    CRUJ 235-03
4/26/2022,Cheating,Criminal Justice 235-03    CRUJ 235-03
4/28/2022,Cheating,Math 635
5/3/2022,Cheating,Biology 334: Microbiology
5/3/2022,Cheating,Biology 334: Microbiology
5/3/2022,"Cheating, Facilitation",Biology 334: Microbiology
5/3/2022,Cheating,Biology 334: Microbiology
5/3/2022,Cheating,Psychology 218-02 Adolescent Psychology
5/3/2022,Cheating,Psychology 218-02 Adolescent Psychology
5/4/2022,Plagiarism,NURS 824: Doctor of Nursing Practice
5/4/2022,Plagiarism,Art Appreciation Art 100-05
5/4/2022,Cheating,Microbiology/BIOLOGY 334-05  CRN  22434
5/5/2022,Plagiarism,ART-100--Art Appreciation
5/5/2022,Plagiarism,Communications 114 Public Speaking
5/6/2022,Cheating,ANSC 101-01 Anthropology of the Human Past
5/7/2022,Cheating,English 112-40 CRN: 23452
